iter	MAPE
0	0.01737138365
1	0.01661502064
2	0.01581154296
3	0.01517383312
4	0.01449362491
5	0.01381054591
6	0.0132155685
7	0.01260879274
8	0.01223323994
9	0.01162288874
10	0.01106122556
11	0.01053760334
12	0.01000340594
13	0.009558975016
14	0.00913522745
15	0.008756682524
16	0.008362596261
17	0.00795697408
18	0.007579249411
19	0.007266808215
20	0.006935215413
21	0.00665791781
22	0.006516992465
23	0.006220447827
24	0.005948470398
25	0.005753079297
26	0.00551422236
27	0.005301608333
28	0.00513966653
29	0.004917877245
30	0.004741690908
31	0.0045108996
32	0.00428681579
33	0.004091664675
34	0.00395217172
35	0.003755351454
36	0.003591108743
37	0.003434628434
38	0.003266178152
39	0.003139400557
40	0.003013139335
41	0.002880017456
42	0.002779312757
43	0.002663533787
44	0.00253338948
45	0.002413662672
46	0.002303526651
47	0.00219530275
48	0.00209927188
49	0.002019007695
50	0.001958770299
51	0.001879090354
52	0.001820855899
53	0.001772598734
54	0.001721006924
55	0.001649028062
56	0.001585928187
57	0.001557948511
58	0.001496265531
59	0.001450219043
60	0.001409054873
61	0.001350804044
62	0.001292025301
63	0.001254415047
64	0.001211923778
65	0.001170633845
66	0.001144152702
67	0.001102446802
68	0.001073265431
69	0.001039492113
70	0.001017016534
71	0.0009713835396
72	0.0009349352193
73	0.0008977619898
74	0.0008662883252
75	0.000842561362
76	0.0008272594908
77	0.0007940178318
78	0.0007671867102
79	0.0007447649986
80	0.000720546546
81	0.0006991720651
82	0.0006804721006
83	0.0006624494052
84	0.0006571999649
85	0.0006397790394
86	0.0006253797133
87	0.0006035770895
88	0.0005897517851
89	0.0005766794283
90	0.0005619567002
91	0.0005432867892
92	0.0005264453674
93	0.0005106376076
94	0.0004949029265
95	0.0004878837597
96	0.0004780685448
97	0.0004641174475
98	0.0004478392229
99	0.0004367114347
100	0.0004313058774
101	0.0004184426205
102	0.0004069145846
103	0.0003969109313
104	0.0003907452366
105	0.000381967954
106	0.0003736924052
107	0.0003638260059
108	0.0003551444254
109	0.000348487963
110	0.0003426636231
111	0.0003369456751
112	0.0003304889956
113	0.0003220166002
114	0.0003156875968
115	0.000309981868
116	0.000301690996
117	0.0002958432324
118	0.0002903791247
119	0.0002852781577
120	0.0002795688917
121	0.0002739341313
122	0.0002700239174
123	0.0002659018258
124	0.0002622423504
125	0.0002579056115
126	0.0002536444996
127	0.0002491109727
128	0.0002459456875
129	0.0002419426862
130	0.000238726873
131	0.0002354509242
132	0.0002330687416
133	0.0002303308044
134	0.000226981947
135	0.0002239997399
136	0.0002208134903
137	0.0002181398947
138	0.0002150169683
139	0.0002123149323
140	0.0002089995274
141	0.0002067775636
142	0.0002043061686
143	0.0002011115873
144	0.0001993735541
145	0.0001968014464
146	0.0001946615567
147	0.0001916170065
148	0.0001888185458
149	0.0001856670256
150	0.0001834986521
151	0.000182195193
152	0.0001804331155
153	0.0001785910635
154	0.000175521234
155	0.0001740485944
156	0.0001721001889
157	0.0001711123016
158	0.0001690156754
159	0.0001680356957
160	0.0001670760828
161	0.0001653342331
162	0.0001625118524
163	0.0001616990906
164	0.0001609122297
165	0.0001595598956
166	0.0001581734667
167	0.0001576377837
168	0.0001567707788
169	0.0001556828123
170	0.0001548522249
171	0.0001538025791
172	0.0001526061465
173	0.0001514813262
174	0.0001507792526
175	0.000150443466
176	0.0001500603245
177	0.0001489992747
178	0.0001487519439
179	0.0001481304204
180	0.0001476371792
181	0.0001465726791
182	0.0001463187002
183	0.0001448621804
184	0.0001443097326
185	0.0001441074853
186	0.0001430048475
187	0.0001424035269
188	0.0001421423448
189	0.0001410886829
190	0.0001402445577
191	0.0001393880823
192	0.0001392116314
193	0.0001380605372
194	0.0001373884289
195	0.000136788745
196	0.0001366273013
197	0.0001350982926
198	0.0001345837241
199	0.0001343381049
200	0.0001340106626
201	0.0001329085816
202	0.0001322421832
203	0.000131551969
204	0.0001313260595
205	0.0001303400837
206	0.0001299370805
207	0.0001289054159
208	0.0001278039935
209	0.0001270737456
210	0.0001262132968
211	0.0001257527247
212	0.0001255246957
213	0.0001248224216
214	0.0001246389798
215	0.0001238508152
216	0.0001234264117
217	0.0001231038842
218	0.0001225911985
219	0.0001220795632
220	0.0001218466099
221	0.0001217762267
222	0.0001206029677
223	0.0001203813147
224	0.000119767469
225	0.0001193166757
226	0.0001189360354
227	0.0001187668383
228	0.000118476862
229	0.0001179509242
230	0.0001175691535
231	0.0001172000968
232	0.0001170930697
233	0.0001165831906
234	0.0001163089682
235	0.0001156454229
236	0.0001154675492
237	0.0001149855933
238	0.0001144712995
239	0.000113106242
240	0.0001126983192
241	0.000112176718
242	0.000111683599
243	0.0001112426284
244	0.000110818577
245	0.0001107470574
246	0.0001103846808
247	0.0001099791808
248	0.0001096110746
249	0.0001093197485
250	0.0001087236819
251	0.0001083754314
252	0.0001081425569
253	0.0001080003466
254	0.0001078338859
255	0.0001074205276
256	0.0001072368969
257	0.0001067058381
258	0.0001063479481
259	0.0001059835337
260	0.0001056476772
261	0.0001048780963
262	0.000104246359
263	0.0001040008145
264	0.0001036268942
265	0.000103476909
266	0.000102975209
267	0.0001026351654
268	0.0001016152412
269	0.0001011431252
270	0.0001005478608
271	9.990195405e-05
272	9.957948021e-05
273	9.867629497e-05
274	9.806302849e-05
275	9.766372597e-05
276	9.749926985e-05
277	9.681932137e-05
278	9.659751366e-05
279	9.642371035e-05
280	9.624925403e-05
281	9.586884274e-05
282	9.561616099e-05
283	9.542542207e-05
284	9.474185928e-05
285	9.445785685e-05
286	9.418227727e-05
287	9.384215035e-05
288	9.361086766e-05
289	9.306679615e-05
290	9.251055501e-05
291	9.197456714e-05
292	9.142827185e-05
293	9.122281211e-05
294	9.084498752e-05
295	9.028159478e-05
296	9.015860923e-05
297	8.967204981e-05
298	8.946720602e-05
299	8.882138756e-05
300	8.795780496e-05
301	8.77502165e-05
302	8.744776285e-05
303	8.732560367e-05
304	8.706935749e-05
305	8.666795444e-05
306	8.589566283e-05
307	8.541963823e-05
308	8.523589524e-05
309	8.498447039e-05
310	8.465929125e-05
311	8.413508557e-05
312	8.374315448e-05
313	8.33890292e-05
314	8.303363516e-05
315	8.286413894e-05
316	8.276939489e-05
317	8.264158148e-05
318	8.250392272e-05
319	8.232810932e-05
320	8.22388101e-05
321	8.200349356e-05
322	8.179485715e-05
323	8.125980262e-05
324	8.09408233e-05
